"FileName"|"GameConsole_NormalizedCode"|"IsTest"|"Sha256Sum"|"WebSite_NormalizedName"|"WebSiteSubcategory_NormalizedName"
"Legend of Zelda - The Minish Cap (World) (Aftermarket) (Pirate).nes"|"NES"|"FALSE"|"1cbcd63320f01c2f3a220bb0f441ab889b472bfef8f6410ad4843be9778e71d5"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Legend of Zelda, The (Europe) (Rev 1) (Virtual Console).nes"|"NES"|"FALSE"|"ee80c7e90d51c9127011b69dfa015da3cd55c5ff925877182ccac4a40ed78ca0"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Legend of Zelda, The (Europe) (Rev 1).nes"|"NES"|"FALSE"|"84cca1f7a23d86f4bdcbaa78f717e8523fa11f81c09dff0e351bd8364f27705d"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Legend of Zelda, The (Europe).nes"|"NES"|"FALSE"|"9aef6eb9b2c807ef1cdde4a83f89b62bb649e721393059b22f4c8b5d9192302d"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Legend of Zelda, The (USA) (GameCube Edition).nes"|"NES"|"FALSE"|"c6dd19c5412ad59972c60c7af6f218f74a0ccb2cb940e4b225f66cdeba3c6f28"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Legend of Zelda, The (USA) (Rev 1) (GameCube Edition).nes"|"NES"|"FALSE"|"3928ab53afb4a5792038b622c3d640a947ecae9c4c2a7d883db48c08fad3ba80"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Legend of Zelda, The (USA) (Rev 1) (Virtual Console).nes"|"NES"|"FALSE"|"552351acb9ddc7f866fa6f90b5b3b1497d6465b7ba22a0ba39f329851ddef133"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Legend of Zelda, The (USA) (Rev 1).nes"|"NES"|"FALSE"|"44e33dc0a6fb663b98908ea761b33bbd77ca5092f25c624b10bf2a97e5406a5a"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Legend of Zelda, The (USA).nes"|"NES"|"FALSE"|""|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Zelda II - The Adventure of Link (Europe) (Rev 1).nes"|"NES"|"FALSE"|"ba79b612e2528a63f2c07ab7f806fbd8e3d133d8db9d97ee131176fccdee3290"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Zelda II - The Adventure of Link (Europe) (Rev 2) (Virtual Console).nes"|"NES"|"FALSE"|"ce46b8cb33920b0a324397f2441e1dcc5aba12d227ee54db2ab8887012542c96"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Zelda II - The Adventure of Link (Europe) (Rev 2).nes"|"NES"|"FALSE"|"78721457d16befd928ab87859618f5e20d3d95655aabd1e5be159c81761537ad"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Zelda II - The Adventure of Link (Europe).nes"|"NES"|"FALSE"|"53e12c61b3cb9de99754a4db84c62fcf0931f3af9168a23d21f15f7cda6ce536"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Zelda II - The Adventure of Link (USA) (GameCube Edition).nes"|"NES"|"FALSE"|"ef1947352051cfff436984f6bad0220492ef9c9f34164348bb7fd121f797585b"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Zelda II - The Adventure of Link (USA) (Virtual Console).nes"|"NES"|"FALSE"|"eecdb71f03d36e80b7c2781c2a92206edaeaf70e3a23bcd06f6b0808d866ad5c"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Zelda II - The Adventure of Link (USA).nes"|"NES"|"FALSE"|"9fca03064a5113e6a92f550d9f42bac9ac1ae248a84df1f653d7cd7f76a1803d"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
"Zelda no Densetsu 1 - The Hyrule Fantasy (Japan).nes"|"NES"|"FALSE"|"94524acec59350a0581c151c04c64c3897cfd8025ba33333b0e14d2e4602e29b"|"MYRIENT"|"NINTENDO - NINTENDO ENTERTAINMENT SYSTEM (HEADERED)"
